warranty_id,type1,original_damage,field_id,warranty_dmgdate,geom
2171,drought,3,6231,2020-07-04,"POLYGON ((102.2831631079316 16.509334252628065, 102.28055734187365 16.509604916579946, 102.28058014065027 16.50924006662719, 102.28316210210323 16.509046551218596, 102.2831631079316 16.509334252628065))"
2172,drought,3,6034,2020-05-05,"POLYGON ((102.28057377040386 16.509066481385894, 102.28319361805914 16.508952365077533, 102.28320300579072 16.508747919917212, 102.28054359555246 16.508828605061343, 102.28057377040386 16.509066481385894))"
2173,drought,3,6045,2020-09-24,"POLYGON ((102.28060159832239 16.50877010029883, 102.28099890053272 16.508733775904414, 102.28137876838446 16.50874020500126, 102.28323083370924 16.508722846439262, 102.28323686867952 16.508470182749264, 102.28060059249401 16.50849557771522, 102.28060159832239 16.50877010029883))"
2174,drought,3,6045,2020-09-24,"POLYGON ((102.28060159832239 16.50877010029883, 102.28099890053272 16.508733775904414, 102.28137876838446 16.50874020500126, 102.28323083370924 16.508722846439262, 102.28323686867952 16.508470182749264, 102.28060059249401 16.50849557771522, 102.28060159832239 16.50877010029883))"
2175,drought,2,6414,2020-08-11,"POLYGON ((102.26505082100628 16.51539999159123, 102.26525165140629 16.515570035266098, 102.26582631468774 16.515523425956125, 102.26586990058424 16.51578540227657, 102.2661491855979 16.5157259352902, 102.26613610982895 16.515276878591475, 102.26505082100628 16.51539999159123))"
2184,flood,1,6539,2020-09-20,"POLYGON ((104.01456858962774 15.946238968926453, 104.01570048183203 15.945953667140786, 104.01577960699797 15.945682871850114, 104.01596903800964 15.94549686106357, 104.01570718735456 15.945176741576358, 104.01589427143335 15.944739276355126, 104.01508793234825 15.944362417193814, 104.01447135955095 15.944898530569716, 104.01447135955095 15.944898530569716, 104.01456858962774 15.946238968926453))"
2186,flood,1,6567,2020-09-20,"POLYGON ((104.01561297476293 15.948620981212304, 104.01698391884565 15.948136779625996, 104.01684880256651 15.946793130217957, 104.01603039354086 15.946861473447413, 104.01549596339466 15.947030719552165, 104.01524819433688 15.946106795268308, 104.01456423103811 15.946238968926453, 104.01561297476293 15.948620981212304))"
2195,flood,1,6574,2020-09-20,"POLYGON ((104.01602402329445 15.946863407689415, 104.01685684919357 15.946766050818711, 104.01700906455517 15.946010082780322, 104.01698559522627 15.9454555969489, 104.01636701077221 15.945138056407341, 104.01574775576591 15.945920462499812, 104.01602402329445 15.946863407689415))"
2223,drought,2,6721,2020-08-15,"POLYGON ((102.26426493376492 16.504460950848138, 102.26429343223572 16.504305041738498, 102.26440642029047 16.504396015522893, 102.26451773196459 16.504173885111793, 102.26438563317059 16.503976507079436, 102.26449292153121 16.503340009772145, 102.26544108241796 16.503699727447177, 102.26498108357191 16.504780483764566, 102.26426493376492 16.504460950848138))"
2234,drought,2,7247,2020-08-12,"POLYGON ((102.26403057575226 16.499565344814762, 102.26364634931086 16.500600154264646, 102.26297613233326 16.50045292169533, 102.26320546120405 16.499304953867064, 102.26403057575226 16.499565344814762))"
2236,drought,2,7322,2021-01-09,"POLYGON ((100.34068319946527 19.495385749448086, 100.34060440957546 19.49496697709093, 100.34038949757814 19.49498530828094, 100.34039419144392 19.49543536994993, 100.34068319946527 19.495385749448086, 100.34068319946527 19.495385749448086))"
